""	,	L_4
bf	,	V_9
get_pathname	,	F_1
path__join	,	F_4
size_t	,	T_2
fmt	,	V_5
st_mode	,	V_17
"./"	,	L_1
path__join3	,	F_6
path	,	V_4
file	,	V_14
len	,	V_6
mkpath	,	F_3
bad_path	,	V_8
"%s%s%s"	,	L_2
va_list	,	T_1
scnprintf	,	F_5
st	,	V_16
stat	,	V_15
is_regular_file	,	F_7
PATH_MAX	,	V_2
"%s%s%s%s%s"	,	L_5
pathname	,	V_7
S_ISREG	,	F_8
size	,	V_10
path1	,	V_11
path2	,	V_12
"/"	,	L_3
path3	,	V_13
pathname_array	,	V_1
idx	,	V_3
cleanup_path	,	F_2
