""	,	L_2
data	,	V_8
ERR_TXT_STRING	,	V_12
ERR_error_string_n	,	F_5
flags	,	V_9
ERR_print_errors_fp	,	F_10
bio	,	V_16
fp	,	V_15
size_t	,	T_1
CRYPTO_THREAD_get_current_id	,	F_3
BIO_write	,	F_8
BIO_free	,	F_12
tid	,	V_10
bp	,	V_13
ERR_print_errors	,	F_9
ltid	,	V_11
file	,	V_7
len	,	V_2
ERR_get_error_line_data	,	F_4
BIO_snprintf	,	F_6
BIO_new_fp	,	F_11
"%lu:%s:%s:%d:%s\n"	,	L_1
FILE	,	T_3
cb	,	F_2
print_bio	,	F_7
CRYPTO_THREAD_ID	,	T_2
BIO	,	V_14
l	,	V_4
str	,	V_1
buf2	,	V_6
buf	,	V_5
u	,	V_3
ERR_print_errors_cb	,	F_1
BIO_NOCLOSE	,	V_17
