" "	,	L_6
"PMON_VER=LM6"	,	L_3
mips_machtype	,	V_2
arcs_cmdline	,	V_1
"PMON_VER=LM8"	,	L_2
MACH_LEMOTE_FL2F	,	V_4
"PMON_VER=LM9"	,	L_4
mach_prom_init_machtype	,	F_1
get_system_type	,	F_2
MACH_LEMOTE_LL2F	,	V_5
MACH_LEMOTE_NAS	,	V_6
__init	,	T_1
"PMON_VER=LM"	,	L_1
" machtype="	,	L_5
MACH_LEMOTE_YL2F89	,	V_3
