""	,	L_2
set_opts	,	V_14
"Intel's performance bias setting needs root privileges\n"	,	L_4
optind	,	V_5
"Could not read perf-bias value[%d]\n"	,	L_8
" bias setting\n"	,	L_6
optarg	,	V_4
perf_bias	,	V_9
CPUPOWER_CAP_PERF_BIAS	,	V_19
bitmask_first	,	F_7
msr_intel_get_perf_bias	,	F_11
argv	,	V_3
caps	,	V_18
run_as_root	,	V_16
PACKAGE	,	V_13
bitmask_setbit	,	F_6
opterr	,	V_6
argc	,	V_2
ret	,	V_11
"analyzing CPU %d:\n"	,	L_7
"b"	,	L_3
"invalid or unknown argument\n"	,	L_1
getopt_long	,	F_4
bitmask_isbitset	,	F_9
bitmask_last	,	F_8
cpus_chosen	,	V_15
cpu	,	V_8
optopt	,	V_7
textdomain	,	F_3
params	,	V_10
stderr	,	V_20
cpupower_cpu_info	,	V_17
print_wrong_arg_exit	,	F_1
"perf-bias: %d\n"	,	L_9
bitmask_isallclear	,	F_5
cpufreq_cpu_exists	,	F_10
EXIT_FAILURE	,	V_1
LC_ALL	,	V_12
"System does not support Intel's performance"	,	L_5
cmd_info	,	F_2
