Version,Technique,MCC,F1,Precision,Recall
OpenSSL_0_9_8,Our,0.417,0.712,0.841,0.617
OpenSSL_1_0_0,Our,0.838,0.915,0.982,0.857
OpenSSL_1_0_1,Our,0.162,0.651,0.689,0.618
OpenSSL_1_0_2,Our,0.21,0.653,0.727,0.593
