Version,Technique,MCC,F1,Precision,Recall
OpenSSL_0_9_3,Our,0.833,0.909,1,0.833
OpenSSL_0_9_4,Our,0.833,0.909,1,0.833
OpenSSL_0_9_5,Our,0.833,0.909,1,0.833
OpenSSL_0_9_6,Our,0.667,0.8,1,0.667
OpenSSL_0_9_7,Our,0.71,0.83,1,0.71
OpenSSL_0_9_8,Our,0.712,0.831,1,0.712
OpenSSL_1_0_0,Our,0.71,0.844,0.964,0.75
OpenSSL_1_0_1,Our,0.725,0.866,0.913,0.824
OpenSSL_1_0_2,Our,0.667,0.8,1,0.667
