""	,	L_2
"brl="	,	L_3
console	,	V_3
c	,	V_5
_braille_register_console	,	F_3
_braille_console_setup	,	F_1
flags	,	V_7
index	,	V_9
_braille_unregister_console	,	F_5
rtn	,	V_6
brl_options	,	V_2
"brl,"	,	L_1
str	,	V_1
braille_register_console	,	F_4
console_cmdline	,	V_4
CON_BRL	,	V_8
options	,	V_10
pr_err	,	F_2
"need port name after brl=\n"	,	L_4
braille_unregister_console	,	F_6
