Version,Technique,MCC,F1,Precision,Recall
v1.11.0,Our,0.507,0.744,0.891,0.638
v1.12.0,Our,0.598,0.812,0.854,0.774
v1.99.0,Our,0.25,0.671,0.736,0.617
v2.0.0,Our,0.443,0.737,0.824,0.667
v2.1.0,Our,0.381,0.718,0.787,0.66
v2.2.0,Our,0.177,0.669,0.672,0.667
v2.4.0,Our,0.246,0.656,0.754,0.581
