Version,Technique,MCC,F1,Precision,Recall
wireshark-1.8.0,Our,0.499,0.688,0.971,0.532
wireshark-1.10.0,Our,0.577,0.774,0.923,0.667
v1.11.0,Our,0.775,0.882,0.968,0.811
v1.12.0,Our,0.577,0.759,0.953,0.631
v1.99.0,Our,0.712,0.851,0.945,0.774
v2.0.0,Our,0.589,0.778,0.933,0.667
v2.1.0,Our,0.744,0.859,0.982,0.764
v2.2.0,Our,0.667,0.829,0.929,0.748
v2.4.0,Our,0.168,0.652,0.694,0.614
