""	,	L_1
kfree	,	F_4
do_jffs2_getxattr	,	F_6
flags	,	V_15
size_t	,	T_1
list_size	,	V_17
dir	,	V_2
XATTR_SECURITY_PREFIX	,	V_21
inode	,	V_1
security_inode_init_security	,	F_2
JFFS2_XPREFIX_SECURITY	,	V_9
len	,	V_5
qstr	,	V_3
d_inode	,	V_14
XATTR_SECURITY_PREFIX_LEN	,	V_20
retlen	,	V_19
buffer	,	V_11
name_len	,	V_18
value	,	V_6
dentry	,	V_10
EOPNOTSUPP	,	V_8
list	,	V_16
jffs2_security_setxattr	,	F_7
jffs2_init_security	,	F_1
EINVAL	,	V_13
rc	,	V_4
jffs2_security_getxattr	,	F_5
size	,	V_12
jffs2_security_listxattr	,	F_8
name	,	V_7
do_jffs2_setxattr	,	F_3
