""	,	L_2
set_opts	,	V_14
optind	,	V_5
optarg	,	V_4
perf_bias	,	V_9
bitmask_first	,	F_7
argv	,	V_3
"of range [0-%d]\n"	,	L_5
PACKAGE	,	V_13
opterr	,	V_6
"--perf-bias param out "	,	L_4
"value on CPU %d\n"	,	L_7
argc	,	V_2
ret	,	V_11
bitmask_setall	,	F_6
"invalid or unknown argument\n"	,	L_1
getopt_long	,	F_4
bitmask_isbitset	,	F_9
bitmask_last	,	F_8
cpus_chosen	,	V_15
cpu	,	V_8
cmd_set	,	F_2
optopt	,	V_7
textdomain	,	F_3
params	,	V_10
stderr	,	V_16
print_wrong_arg_exit	,	F_1
bitmask_isallclear	,	F_5
cpufreq_cpu_exists	,	F_10
EXIT_FAILURE	,	V_1
LC_ALL	,	V_12
"Error setting perf-bias "	,	L_6
"b:"	,	L_3
msr_intel_set_perf_bias	,	F_11
