""	,	L_4
print_symbol	,	F_12
dump_stack	,	F_14
printk_ratelimit	,	F_10
printk	,	F_11
"BUG: using %s%s() in preemptible [%08x] code: %s/%d\n"	,	L_1
pid	,	V_11
notrace	,	T_1
SYSTEM_RUNNING	,	V_7
tsk_cpus_allowed	,	F_7
preempt_enable_no_resched_notrace	,	F_15
out	,	V_4
what1	,	V_1
current	,	V_5
what2	,	V_2
__builtin_return_address	,	F_13
cpumask_equal	,	F_6
preempt_disable_notrace	,	F_9
likely	,	F_3
op	,	V_12
comm	,	V_10
irqs_disabled	,	F_5
"caller is %s\n"	,	L_2
"smp_processor_id"	,	L_3
system_state	,	V_6
raw_smp_processor_id	,	F_2
check_preemption_disabled	,	F_1
debug_smp_processor_id	,	F_16
cpumask_of	,	F_8
KERN_ERR	,	V_9
out_enable	,	V_8
this_cpu	,	V_3
__this_cpu_preempt_check	,	F_17
"__this_cpu_"	,	L_5
preempt_count	,	F_4
